ISCO-88 Title,ISCO-88 code,ISCO-08 code,,ISCO-08 Title,Comments
Sanitarians,3222,2263,p,Environmental and Occupational Health and Hygiene Professionals,
Sanitarians,3222,3257,p,Environmental and Occupational Health Inspectors and Associates,
Dieticians and Nutritionists,3223,2265,,Dieticians and Nutritionists,
Optometrists and Opticians,3224,2267,,Optometrists and Ophthalmic Opticians,
Optometrists and Opticians,3224,3254,,Dispensing Opticians,
Dental Assistants,3225,3251,,Dental Assistants and Therapists,
Physiotherapists and Related Associate Professionals,3226,2264,,Physiotherapists ,
Physiotherapists and Related Associate Professionals,3226,2269,p,Health Professionals Not Elsewhere Classified,"Podiatrists, chiropractors, osteopaths, recreational therapists"
Physiotherapists and Related Associate Professionals,3226,3214,p,Medical and Dental Prosthetic Technicians,"Prosthetics technicians, Prosthesis fitters"
Physiotherapists and Related Associate Professionals,3226,3255,,Physiotherapy Technicians and Assistants,
Veterinary Assistants,3227,3240,,Veterinary Technicians and Assistants,
Pharmaceutical Assistants,3228,3213,,Pharmaceutical Technicians and Assistants,
Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,3229,2230,p,Traditional and Complementary Medicine Professionals,Homeopaths
Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,3229,2266,,Audiologists and Speech Therapists,
Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,3229,2267,p,Optometrists and Ophthalmic Opticians,Orthoptists
Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,3229,2269,p,Health Professionals Not Elsewhere Classified,Occupational therapists
Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,3229,3259,,Health Associate Professionals Not Elsewhere Classified,
Nursing Associate Professionals,3231,3221,p,Nursing Associate Professionals,
Midwifery Associate Professionals,3232,3222,p,Midwifery Associate Professionals,
Traditional Medicine Practitioners,3241,2230,p,Traditional and Complementary Medicine Professionals,
Traditional Medicine Practitioners,3241,3230,p,Traditional and Complementary Medicine Associate Professionals,
Faith Healers,3242,3413,p,Religious Associate Professionals,
Primary Education Teaching Associate Professionals,3310,2341,p,Primary School Teachers,
Pre-primary Education Teaching Associate Professionals,3320,2342,p,Early Childhood Educators,
Special Education Teaching Associate Professionals,3330,2352,p,Special Needs Teachers,
Other Teaching Associate Professionals,3340,2353,p,Other Language Teachers,
Other Teaching Associate Professionals,3340,2355,p,Other Arts Teachers,
Other Teaching Associate Professionals,3340,2356,p,Information Technology Trainers,
Other Teaching Associate Professionals,3340,2359,p,Teaching Professionals Not Elsewhere Classified,
Other Teaching Associate Professionals,3340,3153,p,Aircraft Pilots and Related Associate Professionals,Flying instructors
Other Teaching Associate Professionals,3340,3423,p,Fitness and Recreation Instructors and Programme Leaders,"Sailing instructors, underwater diving instructors"
Other Teaching Associate Professionals,3340,5165,,Driving Instructors,
Securities and Finance Dealers and Brokers,3411,2412,p,Financial and Investment Advisers,
Securities and Finance Dealers and Brokers,3411,3311,,Securities and Finance Dealers and Brokers,
Insurance Representatives,3412,3321,,Insurance Representatives,
Estate Agents,3413,3334,,Real Estate Agents and Property Managers,
Travel Consultants and Organisers,3414,3339,p,Business Services Agents Not Elsewhere Classified,Tour operators
Travel Consultants and Organisers,3414,4221,p,Travel Consultants and Clerks,
Technical and Commercial Sales Representatives,3415,2433,,Technical and Medical Sales Professionals (excluding ICT),
Technical and Commercial Sales Representatives,3415,2434,,Information and Communications Technology Sales Professionals,
Technical and Commercial Sales Representatives,3415,3322,,Commercial Sales Representatives,
Buyers,3416,3323,,Buyers,
"Appraisers, Valuers and Auctioneers",3417,3315,,Valuers and Loss Assessors,
"Appraisers, Valuers and Auctioneers",3417,3339,p,Business Services Agents Not Elsewhere Classified,Auctioneers
Finance and Sales Associate Professionals Not Elsewhere Classified,3419,3312,,Credit and Loans Officers,"Although  ISCO-08 3312 is the only correspondence listed for ISCO-88 3419, other possibilities such as 2413 may be considered, as 3419 is a residual group."
Trade Brokers,3421,3324,,Trade Brokers,
Clearing and Forwarding Agents,3422,3331,,Clearing and Forwarding Agents,
Employment Agents and Labour Contractors,3423,3333,p,Employment Agents and Contractors,
